segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId,road_point
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,49.5,60,33.79032,-7.158805,9.6,15.0,17.5,19292,1,2,RN1
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,220.4,100,33.7927525,-7.159050000000001,14.0,22.0,23.4,18829,1,2,RP3323
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,36.7,60,33.79045,-7.158815000000001,11.8,17.0,19.2,19342,1,2,RP3323
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,41.9,60,33.791156,-7.158850000000001,16.5,21.0,23.8,19011,1,2,RP3323
-15040005447308,-00004d41-3200-0400-0000-000000549fbb,شارع الحسن الثاني,1,48.1,60,33.789305,-7.16018,16.0,22.0,24.0,22225,1,2,RN11
-15040005757166,-00004d41-3200-0400-0000-000000549fc0,شارع الحسن الثاني,1,79.4,60,33.79038,-7.15766,12.4,26.0,25.3,6656,1,2,RN1
-15040002586199,-00004d41-3200-0400-0000-000000549fc1,شارع الحسن الثاني,1,171.6,60,33.79075,-7.156766666666667,23.1,32.0,31.4,6666,1,2,RN1
-15040004892412,-00004d41-3200-0400-0000-00000054a0c2,شارع الحسن الثاني,1,4.0,60,33.79006,-7.1584075,9.4,16.0,19.2,6737,1,2,RN1
-15040003474385,-00004d41-3200-0400-0000-00000054a0c4,شارع الحسن الثاني,1,31.8,60,33.7896475,-7.159425,12.1,13.0,16.4,22086,1,2,RN11
-15040010198951,-8c5f92b3-2f2c-46c9-a54d-dcfddfe8776c,شارع الحسن الثاني,1,136.8,60,33.788986666666666,-7.16106,15.8,22.0,24.0,22063,1,2,RN11
-15040010197344,-94b320dd-a0ca-44aa-9240-f0d7ee542653,شارع الحسن الثاني,1,106.4,60,33.789084,-7.160752,14.5,19.0,20.0,20855,1,2,RN11
-15040010197120,-a1bd46d9-3c8a-4178-bee2-1a5d123d14ea,شارع الحسن الثاني,1,135.8,60,33.788852,-7.160964,16.6,21.0,21.9,10640,1,2,RN11
-15040010200259,-bd668464-268e-4430-9c6c-d40378070c44,شارع الحسن الثاني,1,130.6,60,33.78894666666667,-7.160963333333334,6.0,13.0,13.6,303,1,2,RN11
-15040010201790,-d2b7475c-0705-41ea-8bc9-545fa0d91559,شارع الحسن الثاني,1,148.5,60,33.78881666666667,-7.1610983333333325,14.9,22.0,22.3,23054,1,2,RN11
-15040010967129,-d885419b-a0a2-4a66-8857-b40b31fa97ad,شارع الحسن الثاني,1,171.9,60,33.78877666666667,-7.161359999999999,25.7,32.0,32.0,9352,1,2,RN11
