segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,22.7,28.0,27.8,1050,1,2
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,25.2,30.0,29.7,673,1,3
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,26.1,34.0,33.7,371,1,4
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,33.0,38.0,37.8,217,1,5
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,36.8,41.0,41.1,123,1,6
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,35.6,38.0,38.5,126,1,7
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,18.7,36.0,36.1,121,1,8
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,28.6,32.0,31.9,201,1,9
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,21.7,28.0,28.0,348,1,10
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,16.2,24.0,24.2,634,1,11
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,12.8,19.0,19.4,821,1,12
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,8.7,13.0,14.3,957,1,13
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,7.5,12.0,13.5,958,1,14
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,7.9,12.0,13.5,992,1,15
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,8.5,12.0,13.5,1093,1,16
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,7.9,13.0,13.9,1110,1,17
-15040004425812,-00004d41-3200-0400-0000-0000004eb937,N23,1,10.54,60,33.79032,-7.158805,9.3,14.0,15.3,1197,1,18
