date,hour,average_speed_kph
2024-08-01,00:00,20.0
2024-08-01,01:00,30.4
2024-08-01,02:00,31.75
2024-08-01,03:00,41.1
2024-08-01,04:00,16.97
2024-08-01,05:00,40.5
2024-08-01,06:00,38.95
2024-08-01,07:00,19.28
2024-08-01,08:00,18.44
2024-08-01,09:00,16.86
2024-08-01,10:00,10.26
2024-08-01,11:00,9.72
2024-08-01,12:00,7.08
2024-08-01,13:00,4.72
2024-08-01,14:00,10.06
2024-08-01,15:00,13.22
2024-08-01,16:00,17.67
2024-08-01,17:00,9.93
2024-08-01,18:00,12.42
2024-08-01,19:00,10.63
2024-08-01,20:00,15.08
2024-08-01,21:00,10.58
2024-08-01,22:00,15.36
2024-08-01,23:00,18.36
2024-08-02,00:00,21.24
2024-08-02,01:00,28.55
2024-08-02,02:00,34.4
2024-08-02,03:00,45.05
2024-08-02,04:00,34.95
2024-08-02,05:00,40.9
2024-08-02,06:00,37.7
2024-08-02,07:00,28.6
2024-08-02,08:00,16.27
2024-08-02,09:00,17.07
2024-08-02,10:00,16.67
2024-08-02,11:00,10.88
2024-08-02,12:00,12.68
2024-08-02,13:00,10.35
2024-08-02,14:00,20.6
2024-08-02,15:00,15.9
2024-08-02,16:00,22.92
2024-08-02,17:00,18.1
2024-08-02,18:00,13.64
2024-08-02,19:00,13.1
2024-08-02,20:00,12.32
2024-08-02,21:00,14.08
2024-08-02,22:00,19.48
2024-08-02,23:00,24.05
2024-08-03,00:00,18.35
2024-08-03,01:00,21.54
2024-08-03,02:00,33.75
2024-08-03,03:00,18.4
2024-08-03,04:00,30.72
2024-08-03,05:00,37.6
2024-08-03,06:00,30.08
2024-08-03,07:00,31.95
2024-08-03,08:00,27.4
2024-08-03,09:00,16.55
2024-08-03,10:00,12.08
2024-08-03,11:00,9.75
2024-08-03,12:00,13.54
2024-08-03,13:00,13.08
2024-08-03,14:00,14.58
2024-08-03,15:00,14.35
2024-08-03,16:00,14.6
2024-08-03,17:00,12.0
2024-08-03,18:00,11.3
2024-08-03,19:00,14.6
2024-08-03,20:00,12.7
2024-08-03,21:00,10.8
2024-08-03,22:00,24.35
2024-08-03,23:00,20.03
2024-08-04,00:00,18.45
2024-08-04,01:00,25.07
2024-08-04,02:00,10.18
