date,hour,average_speed_kph
2024-08-01,00:00,30.02
2024-08-01,01:00,28.65
2024-08-01,02:00,36.04
2024-08-01,03:00,25.52
2024-08-01,04:00,19.27
2024-08-01,05:00,40.83
2024-08-01,06:00,31.24
2024-08-01,07:00,28.11
2024-08-01,08:00,25.19
2024-08-01,09:00,21.84
2024-08-01,10:00,18.41
2024-08-01,11:00,15.55
2024-08-01,12:00,12.25
2024-08-01,13:00,13.78
2024-08-01,14:00,15.22
2024-08-01,15:00,16.31
2024-08-01,16:00,18.61
2024-08-01,17:00,17.76
2024-08-01,18:00,15.9
2024-08-01,19:00,14.82
2024-08-01,20:00,16.67
2024-08-01,21:00,16.15
2024-08-01,22:00,17.31
2024-08-01,23:00,22.41
2024-08-02,00:00,27.58
2024-08-02,01:00,28.19
2024-08-02,02:00,33.72
2024-08-02,03:00,37.89
2024-08-02,04:00,30.0
2024-08-02,05:00,40.11
2024-08-02,06:00,26.29
2024-08-02,07:00,25.48
2024-08-02,08:00,15.76
2024-08-02,09:00,17.6
2024-08-02,10:00,18.39
2024-08-02,11:00,17.94
2024-08-02,12:00,17.38
2024-08-02,13:00,14.77
2024-08-02,14:00,20.98
2024-08-02,15:00,22.06
2024-08-02,16:00,14.54
2024-08-02,17:00,16.27
2024-08-02,18:00,16.75
2024-08-02,19:00,16.59
2024-08-02,20:00,14.08
2024-08-02,21:00,18.76
2024-08-02,22:00,20.98
2024-08-02,23:00,23.89
2024-08-03,00:00,25.55
2024-08-03,01:00,27.2
2024-08-03,02:00,32.64
2024-08-03,03:00,45.92
2024-08-03,04:00,35.95
2024-08-03,05:00,34.47
2024-08-03,06:00,33.64
2024-08-03,07:00,27.35
2024-08-03,08:00,24.6
2024-08-03,09:00,21.78
2024-08-03,10:00,17.5
2024-08-03,11:00,13.58
2024-08-03,12:00,12.26
2024-08-03,13:00,12.51
2024-08-03,14:00,16.76
2024-08-03,15:00,16.54
2024-08-03,16:00,16.59
2024-08-03,17:00,17.01
2024-08-03,18:00,15.46
2024-08-03,19:00,14.54
2024-08-03,20:00,14.91
2024-08-03,21:00,14.75
2024-08-03,22:00,19.84
2024-08-03,23:00,19.66
2024-08-04,00:00,25.29
2024-08-04,01:00,26.31
2024-08-04,02:00,29.2
2024-08-04,03:00,28.89
2024-08-04,04:00,32.11
2024-08-04,05:00,47.16
2024-08-04,06:00,24.34
2024-08-04,07:00,24.09
2024-08-04,08:00,14.94
2024-08-04,09:00,23.19
2024-08-04,10:00,20.92
2024-08-04,11:00,20.32
2024-08-04,12:00,17.26
2024-08-04,13:00,13.2
2024-08-04,14:00,16.69
2024-08-04,15:00,13.3
2024-08-04,16:00,17.58
2024-08-04,17:00,19.5
2024-08-04,18:00,13.85
2024-08-04,19:00,14.24
2024-08-04,20:00,13.29
2024-08-04,21:00,16.3
2024-08-04,22:00,16.94
2024-08-04,23:00,19.79
2024-08-05,00:00,27.12
2024-08-05,01:00,31.26
2024-08-05,02:00,29.26
2024-08-05,03:00,29.91
